number ,AphidMummy,field,plot ,tube ,fertilization,parasitoid,endosymbiont,Mdir,Save,Rpad,Hden,Rins,EPpla,APrho,APuzb,APerv,APave,PRvol,PRgal,AEabd,ALvic,ASsus,ASvul,COcla,PHvil,DEcar
3070,aph,H,1,1,no,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3071,aph,H,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072,aph,H,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3073,aph,H,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3074,aph,H,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3075,aph,H,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3076,aph,H,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3077,aph,H,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3078,aph,H,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3079,aph,H,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3080,aph,H,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3081,aph,H,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3082,aph,H,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
